mechanism,n,domain,protocol,epsilon_h,epsilon_c,lambda,deposit_multiplier,deadline_sec,premium,k_bits,honest_payoff,fraud_payoff,deterrence,ic
TEE-PoW,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.248281,3.933345,91.466005,1
Deposit+PoW,100000,32,olh,1.0,4.0,1.0,0.5,0.2,10.147070,22,85.210281,28.659503,66.739848,1
NoVerify,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.172281,83.059634,12.339716,1
StrongDeposit,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.248281,3.933345,91.466005,1
Deposit+PoW,100000,32,olh,1.0,4.0,1.0,1.0,0.2,10.147070,22,85.210281,25.869059,69.530292,1
NoVerify,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.172281,87.118462,8.280888,0
StrongDeposit,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.248281,-131.054219,226.453570,1
Deposit+PoW,100000,32,olh,1.0,4.0,2.0,0.0,0.2,10.147070,30,85.210281,-43.457348,138.856699,1
NoVerify,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.172281,85.089048,10.310302,1
StrongDeposit,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.248281,-131.054219,226.453570,1
Deposit+PoW,100000,32,olh,1.0,4.0,2.0,0.5,0.2,10.147070,30,85.210281,-46.247793,141.647143,1
NoVerify,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.252281,95.399351,0.000000,0
DirectAttest,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.152281,-1.000000,96.399351,1
RejectMismatch,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.132281,-2.000000,97.399351,1
TEEOnly,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.052281,87.089048,8.310302,0
AuditSlash,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.172281,83.059634,12.339716,1
StrongDeposit,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.152281,85.002281,10.397070,1
ReputationOnly,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.192281,81.916988,13.482363,1
TEE-PoW,100000,32,olh,1.0,4.0,2.0,1.0,0.2,10.147070,30,85.248281,-131.054219,226.453570,1
