n,domain,protocol,epsilon_h,epsilon_c,lambda,k_bits,k_uncapped,k_capped,hash_rate,deadline_sec,deposit_multiplier,premium,added_pow_cost,deadline_penalty,slash,deterrence,ic
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,0.2,0.5,10.16104068,134.20953600,97.50581003,5.08052034,236.79586637,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,0.2,1.0,10.16104068,134.20953600,97.50581003,10.16104068,241.87638671,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,1.0,0.0,10.16104068,134.20953600,97.20157998,0.00000000,231.41111598,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,1.0,0.5,10.16104068,134.20953600,97.20157998,5.08052034,236.49163632,1
10000,2,brr,0.2,1.0,0.5,26,26,0,262144,1.0,1.0,10.16104068,134.20953600,97.20157998,10.16104068,241.57215666,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,0.05,0.0,10.16104068,134.20953600,97.42966337,0.00000000,231.63919937,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,0.05,0.5,10.16104068,134.20953600,97.42966337,5.08052034,236.71971971,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,0.05,1.0,10.16104068,134.20953600,97.42966337,10.16104068,241.80024005,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,0.2,0.0,10.16104068,134.20953600,96.97403054,0.00000000,231.18356654,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,0.2,0.5,10.16104068,134.20953600,96.97403054,5.08052034,236.26408688,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,0.2,1.0,10.16104068,134.20953600,96.97403054,10.16104068,241.34460722,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,1.0,0.0,10.16104068,134.20953600,94.57973320,0.00000000,228.78926920,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,1.0,0.5,10.16104068,134.20953600,94.57973320,5.08052034,233.86978954,1
10000,2,brr,0.2,1.0,0.5,26,26,0,2097152,1.0,1.0,10.16104068,134.20953600,94.57973320,10.16104068,238.95030988,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,0.05,0.0,10.16104068,134.20953600,96.36983294,0.00000000,230.57936894,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,0.05,0.5,10.16104068,134.20953600,96.36983294,5.08052034,235.65988928,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,0.05,1.0,10.16104068,134.20953600,96.36983294,10.16104068,240.74040962,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,0.2,0.0,10.16104068,134.20953600,92.82288512,0.00000000,227.03242112,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,0.2,0.5,10.16104068,134.20953600,92.82288512,5.08052034,232.11294146,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,0.2,1.0,10.16104068,134.20953600,92.82288512,10.16104068,237.19346180,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,1.0,0.0,10.16104068,134.20953600,75.99695064,0.00000000,210.20648664,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,1.0,0.5,10.16104068,134.20953600,75.99695064,5.08052034,215.28700698,1
10000,2,brr,0.2,1.0,0.5,26,26,0,16777216,1.0,1.0,10.16104068,134.20953600,75.99695064,10.16104068,220.36752732,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,0.05,0.0,10.16104068,8589.92640000,97.58171841,0.00000000,8687.50811841,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,0.05,0.5,10.16104068,8589.92640000,97.58171841,5.08052034,8692.58863875,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,0.05,1.0,10.16104068,8589.92640000,97.58171841,10.16104068,8697.66915909,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,0.2,0.0,10.16104068,8589.92640000,97.58082503,0.00000000,8687.50722503,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,0.2,0.5,10.16104068,8589.92640000,97.58082503,5.08052034,8692.58774537,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,0.2,1.0,10.16104068,8589.92640000,97.58082503,10.16104068,8697.66826571,1
