seed,rho,segment_skew,epsilon_c,mechanism,buyer_utility,seller_revenue,seller_penalty,efficiency,accepted_fraud_rate,decision_regret
2026,0.0,1.5,8.0,Deposit+PoW,16.6411,12.8000,0.0000,0.912915,0.000000,2.6084
2026,0.1,0.0,1.0,NoVerify,16.9995,12.8690,0.0000,0.926169,0.092000,2.2500
2026,0.1,0.0,1.0,DirectAttest,19.0230,12.8690,0.0000,0.988915,0.000000,0.2265
2026,0.1,0.0,1.0,RejectMismatch,18.3749,12.1000,0.7690,0.939012,0.000000,0.8746
2026,0.1,0.0,1.0,TEEOnly,17.1633,12.7767,0.0923,0.927672,0.048000,2.0862
2026,0.1,0.0,1.0,AuditSlash,17.8366,12.4230,0.4460,0.934837,0.018000,1.4129
2026,0.1,0.0,1.0,StrongDeposit,18.1042,12.1923,0.6767,0.934193,0.006000,1.1453
2026,0.1,0.0,1.0,ReputationOnly,17.4686,12.5153,0.3537,0.927003,0.026000,1.7809
2026,0.1,0.0,1.0,TEE-PoW,13.3765,12.3307,0.5383,0.792963,0.016000,5.8730
2026,0.1,0.0,1.0,Deposit+PoW,15.7044,12.2230,0.6460,0.860973,0.007000,3.5451
2026,0.1,0.0,2.0,NoVerify,17.0934,12.9690,0.0000,0.932181,0.092000,2.1561
2026,0.1,0.0,2.0,DirectAttest,18.2457,12.9690,0.0000,0.967914,0.000000,1.0038
2026,0.1,0.0,2.0,RejectMismatch,18.4118,12.2000,0.7690,0.943257,0.000000,0.8377
2026,0.1,0.0,2.0,TEEOnly,17.1105,12.8767,0.0923,0.929137,0.048000,2.1390
2026,0.1,0.0,2.0,AuditSlash,17.8019,12.5230,0.4460,0.936865,0.018000,1.4476
2026,0.1,0.0,2.0,StrongDeposit,17.6593,12.2923,0.6767,0.923501,0.006000,1.5902
2026,0.1,0.0,2.0,ReputationOnly,17.7509,12.6153,0.3537,0.938858,0.026000,1.4986
2026,0.1,0.0,2.0,TEE-PoW,13.6588,12.4307,0.5383,0.804817,0.016000,5.5907
2026,0.1,0.0,2.0,Deposit+PoW,15.8822,12.3230,0.6460,0.869587,0.007000,3.3673
2026,0.1,0.0,4.0,NoVerify,16.5878,13.1690,0.0000,0.922706,0.092000,2.6617
2026,0.1,0.0,4.0,DirectAttest,18.3087,13.1690,0.0000,0.976069,0.000000,0.9408
2026,0.1,0.0,4.0,RejectMismatch,18.9534,12.4000,0.7690,0.966252,0.000000,0.2961
2026,0.1,0.0,4.0,TEEOnly,17.3069,13.0767,0.0923,0.941428,0.048000,1.9426
2026,0.1,0.0,4.0,AuditSlash,17.8338,12.7230,0.4460,0.944055,0.018000,1.4157
2026,0.1,0.0,4.0,StrongDeposit,17.7746,12.4923,0.6767,0.933277,0.006000,1.4749
2026,0.1,0.0,4.0,ReputationOnly,17.7592,12.8153,0.3537,0.945317,0.026000,1.4903
2026,0.1,0.0,4.0,TEE-PoW,13.7541,12.6307,0.5383,0.813972,0.016000,5.4954
2026,0.1,0.0,4.0,Deposit+PoW,15.9117,12.5230,0.6460,0.876703,0.007000,3.3378
2026,0.1,0.0,8.0,NoVerify,16.8328,13.5690,0.0000,0.942706,0.092000,2.4167
2026,0.1,0.0,8.0,DirectAttest,18.8101,13.5690,0.0000,1.000000,0.000000,0.4394
2026,0.1,0.0,8.0,RejectMismatch,18.1621,12.8000,0.7690,0.954117,0.000000,1.0874
2026,0.1,0.0,8.0,TEEOnly,17.1517,13.4767,0.0923,0.949019,0.048000,2.0978
2026,0.1,0.0,8.0,AuditSlash,17.2853,13.1230,0.4460,0.939450,0.018000,1.9642
2026,0.1,0.0,8.0,StrongDeposit,18.4654,12.8923,0.6767,0.967101,0.006000,0.7841
2026,0.1,0.0,8.0,ReputationOnly,17.3322,13.2153,0.3537,0.944482,0.026000,1.9173
2026,0.1,0.0,8.0,TEE-PoW,13.8541,13.0307,0.5383,0.829478,0.016000,5.3954
2026,0.1,0.0,8.0,Deposit+PoW,16.3640,12.9230,0.6460,0.903131,0.007000,2.8855
2026,0.1,0.5,1.0,NoVerify,16.5630,12.8690,0.0000,0.912635,0.092000,2.6865
2026,0.1,0.5,1.0,DirectAttest,18.8787,12.8690,0.0000,0.984441,0.000000,0.3708
2026,0.1,0.5,1.0,RejectMismatch,18.2692,12.1000,0.7690,0.935733,0.000000,0.9803
2026,0.1,0.5,1.0,TEEOnly,17.3603,12.7767,0.0923,0.933781,0.048000,1.8892
2026,0.1,0.5,1.0,AuditSlash,17.8724,12.4230,0.4460,0.935949,0.018000,1.3771
2026,0.1,0.5,1.0,StrongDeposit,17.7433,12.1923,0.6767,0.923005,0.006000,1.5062
2026,0.1,0.5,1.0,ReputationOnly,17.7295,12.5153,0.3537,0.935094,0.026000,1.5200
2026,0.1,0.5,1.0,TEE-PoW,14.0467,12.3307,0.5383,0.813743,0.016000,5.2028
2026,0.1,0.5,1.0,Deposit+PoW,16.0636,12.2230,0.6460,0.872110,0.007000,3.1859
2026,0.1,0.5,2.0,NoVerify,17.0173,12.9690,0.0000,0.929823,0.092000,2.2322
2026,0.1,0.5,2.0,DirectAttest,18.3439,12.9690,0.0000,0.970956,0.000000,0.9056
2026,0.1,0.5,2.0,RejectMismatch,18.8594,12.2000,0.7690,0.957137,0.000000,0.3901
2026,0.1,0.5,2.0,TEEOnly,17.0715,12.8767,0.0923,0.927925,0.048000,2.1780
2026,0.1,0.5,2.0,AuditSlash,17.4652,12.5230,0.4460,0.926422,0.018000,1.7843
2026,0.1,0.5,2.0,StrongDeposit,17.9998,12.2923,0.6767,0.934058,0.006000,1.2497
2026,0.1,0.5,2.0,ReputationOnly,17.3233,12.6153,0.3537,0.925600,0.026000,1.9262
2026,0.1,0.5,2.0,TEE-PoW,13.6142,12.4307,0.5383,0.803435,0.016000,5.6353
2026,0.1,0.5,2.0,Deposit+PoW,15.9081,12.3230,0.6460,0.870389,0.007000,3.3414
2026,0.1,0.5,4.0,NoVerify,16.3935,13.1690,0.0000,0.916680,0.092000,2.8560
2026,0.1,0.5,4.0,DirectAttest,18.6473,13.1690,0.0000,0.986568,0.000000,0.6022
2026,0.1,0.5,4.0,RejectMismatch,18.8017,12.4000,0.7690,0.961549,0.000000,0.4478
2026,0.1,0.5,4.0,TEEOnly,17.0946,13.0767,0.0923,0.934845,0.048000,2.1549
2026,0.1,0.5,4.0,AuditSlash,17.5033,12.7230,0.4460,0.933806,0.018000,1.7462
2026,0.1,0.5,4.0,StrongDeposit,17.9203,12.4923,0.6767,0.937795,0.006000,1.3292
2026,0.1,0.5,4.0,ReputationOnly,17.6864,12.8153,0.3537,0.943060,0.026000,1.5631
2026,0.1,0.5,4.0,TEE-PoW,13.4479,12.6307,0.5383,0.804479,0.016000,5.8016
2026,0.1,0.5,4.0,Deposit+PoW,16.3153,12.5230,0.6460,0.889220,0.007000,2.9342
2026,0.1,0.5,8.0,NoVerify,16.8734,13.5690,0.0000,0.943966,0.092000,2.3761
2026,0.1,0.5,8.0,DirectAttest,18.9340,13.5690,0.0000,1.000000,0.000000,0.3155
2026,0.1,0.5,8.0,RejectMismatch,18.8626,12.8000,0.7690,0.975839,0.000000,0.3869
2026,0.1,0.5,8.0,TEEOnly,16.9287,13.4767,0.0923,0.942102,0.048000,2.3208
2026,0.1,0.5,8.0,AuditSlash,17.9407,13.1230,0.4460,0.959771,0.018000,1.3088
2026,0.1,0.5,8.0,StrongDeposit,18.4179,12.8923,0.6767,0.965627,0.006000,0.8316
2026,0.1,0.5,8.0,ReputationOnly,17.8336,13.2153,0.3537,0.960029,0.026000,1.4159
2026,0.1,0.5,8.0,TEE-PoW,13.7070,13.0307,0.5383,0.824917,0.016000,5.5425
2026,0.1,0.5,8.0,Deposit+PoW,16.3034,12.9230,0.6460,0.901252,0.007000,2.9461
2026,0.1,1.0,1.0,NoVerify,16.7829,12.8690,0.0000,0.919454,0.092000,2.4666
2026,0.1,1.0,1.0,DirectAttest,18.8029,12.8690,0.0000,0.982088,0.000000,0.4466
2026,0.1,1.0,1.0,RejectMismatch,18.9646,12.1000,0.7690,0.957296,0.000000,0.2849
2026,0.1,1.0,1.0,TEEOnly,16.9652,12.7767,0.0923,0.921530,0.048000,2.2843
2026,0.1,1.0,1.0,AuditSlash,17.1965,12.4230,0.4460,0.914989,0.018000,2.0530
2026,0.1,1.0,1.0,StrongDeposit,18.1239,12.1923,0.6767,0.934806,0.006000,1.1256
2026,0.1,1.0,1.0,ReputationOnly,17.7286,12.5153,0.3537,0.935067,0.026000,1.5209
2026,0.1,1.0,1.0,TEE-PoW,13.8004,12.3307,0.5383,0.806105,0.016000,5.4491
2026,0.1,1.0,1.0,Deposit+PoW,15.6866,12.2230,0.6460,0.860422,0.007000,3.5629
2026,0.1,1.0,2.0,NoVerify,16.6628,12.9690,0.0000,0.918830,0.092000,2.5867
2026,0.1,1.0,2.0,DirectAttest,18.6997,12.9690,0.0000,0.981991,0.000000,0.5498
2026,0.1,1.0,2.0,RejectMismatch,18.6107,12.2000,0.7690,0.949425,0.000000,0.6388
2026,0.1,1.0,2.0,TEEOnly,16.8415,12.8767,0.0923,0.920793,0.048000,2.4080
2026,0.1,1.0,2.0,AuditSlash,17.3206,12.5230,0.4460,0.921939,0.018000,1.9289
2026,0.1,1.0,2.0,StrongDeposit,17.8594,12.2923,0.6767,0.929705,0.006000,1.3901
2026,0.1,1.0,2.0,ReputationOnly,17.7137,12.6153,0.3537,0.937705,0.026000,1.5358
2026,0.1,1.0,2.0,TEE-PoW,13.4071,12.4307,0.5383,0.797013,0.016000,5.8424
2026,0.1,1.0,2.0,Deposit+PoW,15.8252,12.3230,0.6460,0.867821,0.007000,3.4243
2026,0.1,1.0,4.0,NoVerify,16.8778,13.1690,0.0000,0.931697,0.092000,2.3717
2026,0.1,1.0,4.0,DirectAttest,18.3536,13.1690,0.0000,0.977461,0.000000,0.8959
2026,0.1,1.0,4.0,RejectMismatch,18.7156,12.4000,0.7690,0.958878,0.000000,0.5339
2026,0.1,1.0,4.0,TEEOnly,17.3317,13.0767,0.0923,0.942195,0.048000,1.9178
2026,0.1,1.0,4.0,AuditSlash,17.7055,12.7230,0.4460,0.940076,0.018000,1.5440
2026,0.1,1.0,4.0,StrongDeposit,17.7851,12.4923,0.6767,0.933601,0.006000,1.4644
2026,0.1,1.0,4.0,ReputationOnly,17.7806,12.8153,0.3537,0.945982,0.026000,1.4689
2026,0.1,1.0,4.0,TEE-PoW,13.7718,12.6307,0.5383,0.814522,0.016000,5.4777
2026,0.1,1.0,4.0,Deposit+PoW,15.8370,12.5230,0.6460,0.874387,0.007000,3.4125
2026,0.1,1.0,8.0,NoVerify,16.7720,13.5690,0.0000,0.940822,0.092000,2.4775
2026,0.1,1.0,8.0,DirectAttest,18.4614,13.5690,0.0000,0.993207,0.000000,0.7881
2026,0.1,1.0,8.0,RejectMismatch,18.3826,12.8000,0.7690,0.960957,0.000000,0.8669
2026,0.1,1.0,8.0,TEEOnly,16.8833,13.4767,0.0923,0.940694,0.048000,2.3662
2026,0.1,1.0,8.0,AuditSlash,17.1120,13.1230,0.4460,0.934074,0.018000,2.1375
2026,0.1,1.0,8.0,StrongDeposit,17.9886,12.8923,0.6767,0.952316,0.006000,1.2609
2026,0.1,1.0,8.0,ReputationOnly,18.0218,13.2153,0.3537,0.965863,0.026000,1.2277
2026,0.1,1.0,8.0,TEE-PoW,14.0149,13.0307,0.5383,0.834464,0.016000,5.2346
2026,0.1,1.0,8.0,Deposit+PoW,15.9610,12.9230,0.6460,0.890635,0.007000,3.2885
2026,0.1,1.5,1.0,NoVerify,15.8943,12.8690,0.0000,0.891898,0.092000,3.3552
2026,0.1,1.5,1.0,DirectAttest,18.2863,12.8690,0.0000,0.966071,0.000000,0.9632
